,Stkcd,Accper,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
47,600362,2007-09-30,C32,38.029435,40.69599,40.720743,7.010674000000001,4.6824900000000005,4.915412,80.939801,,932.1414369999999,10.213302,6.2742,38.685947999999996,41.132134,41.416274,10.337285000000001,43861884979.0,189685000000.0,1.521515,1.54331,6.579956,6.67421,0.6572399999999999,0.151977,,0.0,4.085344999999999,10.858744999999999,8.263633
90,002075,2008-06-30,C32,,,,0.595171,0.743099,0.726521,,10.925722,,5.274507,1.0098049999999998,,,,5.325705999999999,2673310852.0,3372628837.0,1.4339520000000001,1.450421,1.809063,1.8298400000000001,0.6973729999999999,0.552772,,0.0,-0.651335,,
261,600961,2007-12-31,C32,178.271874,178.271874,178.271874,1.0411,1.0411,1.0411,187.813449,187.813449,187.813449,5.526019,2.387053,180.02701499999998,180.02701499999998,180.02701499999998,5.534993,11197115172.0,18041512700.0,1.771377,1.8678009999999998,2.854157,3.009521,0.5645319999999999,0.350366,301.444444,0.003317,1.9618779999999998,26.704853999999997,26.704853999999997
282,002171,2009-09-30,C32,,57.406553,,0.8817729999999999,1.146277,1.223871,18.459298,80.290444,19.920401000000002,3.6667160000000005,2.373478,,58.748431000000004,,3.749947,1536342917.0,2575428509.0,1.581733,1.6532360000000001,2.6515169999999997,2.7713799999999997,0.6322180000000001,0.377143,,0.0,1.0044440000000001,54.773651,
289,000878,2007-12-31,C32,67.29774300000001,67.29774300000001,67.29774300000001,1.9990569999999999,1.9990569999999999,1.9990569999999999,1504.3962880000001,1504.3962880000001,1504.3962880000001,9.566347,2.408318,74.720954,74.720954,74.720954,10.430556,46911249073.0,90678781018.0,1.61764,1.640225,3.1268740000000004,3.170531,0.618185,0.319808,304.5,0.0032840000000000005,4.017923000000001,21.01195,21.01195
327,600961,2008-06-30,C32,60.190577000000005,25.701964,,0.35151,0.507188,0.433721,63.412133999999995,3.246324,6.752728,2.2074540000000002,0.9831190000000001,60.783172,25.703535000000002,,2.211702,6443736733.0,7879833139.0,1.230414,1.311175,1.5046329999999999,1.603392,0.8127340000000001,0.664614,,0.0,-0.662366,27.072190999999997,27.17535
366,002149,2011-06-30,C32,48.976679,1178.150969,76.66470699999999,2.620572,1.7136529999999999,2.158394,,,,3.3133589999999997,1.3008979999999999,82.074393,,214.387098,3.888304,4441846661.0,4934333499.0,1.681931,1.759135,1.868414,1.954178,0.5945550000000001,0.535213,,0.0,-0.243971,63.77384,28.181777
404,600768,2011-09-30,C32,70.944885,380.211182,87.363116,1.7252610000000002,1.346471,1.2975219999999998,161.63103700000002,29.377240999999998,91.210844,10.266537,2.2515240000000003,70.944885,380.211182,87.363116,10.266537,1840688410.0,2033373912.0,2.640847,2.799139,2.917295,3.092156,0.378666,0.342783,,0.0,0.18904400000000002,97.81751899999999,48.759836
440,600331,2010-03-31,C32,72.462249,104.532443,59.851310999999995,3.933718,4.5726830000000005,3.7322,204.87458700000002,,,6.636989999999999,1.846459,98.41485,118.66618999999999,84.47705500000001,9.496027999999999,16414758692.0,21780481342.0,1.8823150000000002,1.971098,2.497614,2.6154189999999997,0.531261,0.400382,,0.0,-0.17588499999999999,165.050578,27.841425
477,002171,2011-03-31,C32,83.30765799999999,66.405608,73.333578,2.4816529999999997,2.343038,2.393844,1733.0696719999999,,81.288099,10.581672,6.9983949999999995,87.748776,73.713098,77.94215799999999,10.896929,7600651609.0,7683580938.0,7.02283,7.296365,7.099455,7.375975,0.14239300000000002,0.14085599999999998,,0.0,-0.010619,210.94015299999998,61.470991000000005
555,000060,2012-09-30,C32,15.487182999999998,33.224184,24.825435,0.908401,1.024889,0.774539,15.796221,30.875125,17.418336,2.435276,1.58206,17.814107999999997,41.712522,31.367724,3.0697389999999998,24266164215.0,24274314621.0,1.697846,2.266701,1.698416,2.2674630000000002,0.588982,0.588784,,0.0,-0.00243,34.120058,22.046329999999998
