Accper,Stkcd,Indcd,F100101B,F100102B,F100103C,F100201B,F100202B,F100203C,F100301B,F100302B,F100303C,F100401A,F100501A,F100601B,F100602B,F100603C,F100701A,F100801A,F100802A,F100901A,F100902A,F100903A,F100904A,F101001A,F101002A,F101101B,F101201B,F101202B,F101301B,F101302C
2020-03-31,600111,C32,51.007462,49.751783,47.376353,1.8053080000000001,1.790875,1.746941,36.785394000000004,16.195707000000002,30.447263,2.50382,1.389074,52.996193999999996,56.393042,50.911052000000005,3.366732,43941152859.0,43941152859.0,1.806459,1.8688049999999998,1.806459,1.8688049999999998,0.553569,0.553569,,0.0,-0.170664,153.800445,35.768021999999995
2019-12-31,600111,C32,61.503992000000004,61.503992000000004,61.503992000000004,2.1768110000000003,2.1768110000000003,2.1768110000000003,44.355247,44.355247,44.355247,3.055103,1.762504,63.901973,63.901973,63.901973,4.108869,49652636485.0,49652636485.0,2.143812,2.2221319999999998,2.143812,2.2221319999999998,0.466459,0.466459,,0.0,0.23603200000000002,31.232922,31.232922
2019-09-30,600111,C32,68.207275,62.857645999999995,65.469459,2.8299689999999997,2.1029139999999997,2.109277,,115.45451899999999,85.10249300000001,3.090214,1.724264,67.646496,64.224145,59.334497999999996,4.140176,50354458421.0,50354458421.0,2.129824,2.198562,2.129824,2.198562,0.46952200000000005,0.46952200000000005,,0.0,0.23945300000000003,57.928727,41.233993
2019-06-30,600111,C32,80.568667,95.054401,87.858985,3.342853,2.7378430000000002,2.779979,,64.255654,109.84828600000002,3.705464,2.075088,79.906257,87.675363,73.801214,4.984933,57275885310.0,57275885310.0,2.4670389999999998,2.547827,2.4670389999999998,2.547827,0.405344,0.405344,,0.0,0.464082,77.831195,36.828257
2019-03-31,600111,C32,69.964224,88.028533,75.27752199999999,2.902866,2.560637,2.7205169999999996,,31.713189,,3.218371,1.7533919999999998,69.389,84.709579,68.15904,4.317298,51779430122.0,51779430122.0,2.1703669999999997,2.2412389999999998,2.1703669999999997,2.2412389999999998,0.460751,0.460751,,0.0,0.27138,198.469277,45.593703999999995
2018-12-31,600111,C32,55.030156000000005,55.030156000000005,55.030156000000005,2.283241,2.283241,2.283241,,,,2.556705,1.387108,54.577716,54.577716,54.577716,3.453763,43132446594.0,43132446594.0,1.817435,1.8777650000000001,1.817435,1.8777650000000001,0.550226,0.550226,175.4,0.0057009999999999995,-0.393202,27.934795,27.934795
2018-09-30,600111,C32,53.345169999999996,62.361128,75.28353299999999,3.642332,2.991963,2.990745,,,,3.006789,1.584334,92.606404,73.471757,86.109883,4.0953230000000005,48963426872.0,48963426872.0,2.0268040000000003,2.087227,2.0268040000000003,2.087227,0.493388,0.493388,,0.0,-0.298835,59.35554499999999,56.317903
2018-06-30,600111,C32,59.341939,70.452043,53.74469200000001,4.051783,3.630672,3.4971300000000003,,,,3.855919,2.00904,103.016703,94.94079,81.528851,4.639838,51812293548.0,51812293548.0,2.4450950000000002,2.5177110000000003,2.4450950000000002,2.5177110000000003,0.408982,0.408982,,0.0,-0.220014,71.49252,35.315948
2018-03-31,600111,C32,67.841707,75.790323,62.646995,4.632135,3.913294,4.184871,,16.764538,,4.382712000000001,2.244093,117.772171,108.39188899999999,108.43541499999999,5.291906,58179429900.0,58179429900.0,2.681335,2.762229,2.681335,2.762229,0.372948,0.372948,,0.0,-0.108293,192.59588,50.556478999999996
2017-12-31,600111,C32,76.08074599999999,76.08074599999999,76.08074599999999,5.194685,5.194685,5.194685,,,,4.977841000000001,2.650271,132.075017,132.075017,132.075017,5.992401,62958831345.0,62958831345.0,3.056124,3.147882,3.056124,3.147882,0.327212,0.327212,416.857143,0.0023989999999999997,0.191478,48.054419,48.054419
